label,time_s,x_g,y_g,z_g
0,0.0,-0.99865467,0.35949615,-1.56542568
0,0.02,-1.32348294,0.74902152,-1.11791706
0,0.04,-1.1578339500000001,1.18090518,-0.41210832000000003
0,0.06,-0.7351055400000001,1.68139218,0.3503409
0,0.08,-0.27453543,1.99022928,1.36510881
0,0.1,0.07385235,1.86620616,2.29577049
0,0.12,0.1477047,1.8747510600000001,2.43798204
0,0.14,0.28466724,1.8716993100000001,1.9114941300000001
0,0.16,0.53002794,1.71471729,1.77147984
0,0.18,0.6433089,1.48119738,1.90722168
0,0.2,0.61840662,1.20263364,1.88537115
0,0.22,0.61266933,1.00195056,1.67419005
0,0.24,0.67944162,0.83447052,1.43481078
0,0.26,0.64892412,0.68408028,1.3244595000000001
0,0.28,0.50854362,0.6140121000000001,1.28002602
0,0.3,0.30810468,0.70666323,1.31164215
0,0.32,0.024414,0.89172135,1.34484519
0,0.34,-0.3405753,1.1291475,1.37865858
0,0.36,-0.68981757,1.34777487,1.45690545
0,0.38,-0.97082271,1.58910726,1.53490818
0,0.4,-1.27026042,1.85583021,1.52624121
0,0.42,-1.48034289,1.86669444,1.43859495
0,0.44,-1.56518154,1.6809039000000001,1.30602693
0,0.46,-1.57299402,1.4177209800000001,1.06261935
0,0.48,-1.7678177400000001,1.24206225,0.57702489
0,0.5,-1.97277327,1.07043183,-0.05883774
0,0.52,-1.8695020500000001,0.71703918,-0.45690801000000003
0,0.54,-1.64391669,0.46655154,-0.5395494
0,0.56,-1.2773404800000001,0.36096099,-0.83849883
0,0.58,-0.67553538,0.23156679,-1.48412706
0,0.6,-0.00305175,0.00830076,-2.29845603
0,0.62,0.82360629,-0.46081425,-3.1213299
0,0.64,0.92052987,-0.44909553,-2.66588673
0,0.66,0.67858713,-0.28063893,-1.81896507
0,0.68,0.73315242,-0.05993637,-1.45409784
0,0.7000000000000001,0.6674787600000001,-0.05273424,-1.3915980000000001
0,0.72,0.69323553,-0.0034179600000000003,-1.55944425
0,0.74,0.65942214,0.12023895,-1.47741321
0,0.76,0.5114733,0.18017532,-1.31115387
0,0.78,0.33679113,0.22790469,-1.22448417
0,0.8,0.19494579,0.256347,-1.14758007
0,0.8200000000000001,0.053344590000000004,0.35693268,-1.01257065
0,0.84,-0.07177716,0.46447635,-0.92675544
0,0.86,-0.16894488,0.41393937000000003,-0.81884556
0,0.88,-0.23986755,0.62243493,-0.60937344
0,0.9,-0.29943771,1.06591524,-0.21154731000000002
0,0.92,-0.17785599,1.48608018,0.38098047
0,0.9400000000000001,-0.12561003,1.79601591,1.38512829
0,0.96,-0.22717227,1.75793007,1.89562503
0,0.98,-0.28759692,1.4083215900000001,1.64904363
0,1.0,-0.36682035,1.29784824,1.28698401
0,1.02,-0.49572627,1.44128049,1.18945008
0,1.04,-0.65527176,1.47204213,1.48339464
0,1.06,-0.97363032,1.43627562,1.78087923
0,1.08,-1.3527797400000001,1.25744307,1.94408682
0,1.1,-1.62023511,1.03771707,2.10949167
0,1.12,-1.4221155,0.71252259,2.1667425000000002
0,1.1400000000000001,-1.15697946,0.4846179,2.0534615400000003
0,1.16,-1.12768266,0.35168367,1.97521467
0,1.18,-1.2634245,0.26440362,2.03234343
0,1.2,-1.5942342,0.28246998,2.1142524000000003
0,1.22,-1.84826187,0.51867543,2.23058511
0,1.24,-1.81835472,0.77721969,2.55175128
0,1.26,-1.73070846,1.08385953,2.97130587
0,1.28,-1.63512765,1.35961566,2.91857163
0,1.3,-1.43236938,1.47448353,2.58641916
0,1.32,-0.96215574,1.2438933,2.19140064
0,1.34,-0.37695216,1.02074934,1.5540731700000001
0,1.36,-0.012329070000000001,0.45202521,0.11523408
0,1.3800000000000001,0.02612298,0.13049283,-0.06311019
0,1.4000000000000001,0.03686514,-0.00573729,-0.052001820000000004
0,1.42,0.01940913,0.00256347,-0.0781248
0,1.44,0.02587884,0.02636712,-0.03015129
0,1.46,0.0280761,0.02673333,-0.02832024
0,1.48,0.031127850000000002,0.02148432,-0.02124018
0,1.5,0.02368158,0.02368158,-0.024414
0,1.52,0.02111811,0.024658140000000002,-0.027099540000000002
0,1.54,0.02368158,0.02148432,-0.02722161
0,1.56,0.025756770000000002,0.025756770000000002,-0.02539056
0,1.58,0.02233881,0.02624505,-0.02514642
0,1.6,0.02587884,0.02282709,-0.02624505
0,1.62,0.02014155,0.0183105,-0.02612298
0,1.6400000000000001,0.02343744,0.01879878,-0.024658140000000002
0,1.6600000000000001,0.02355951,0.02246088,-0.02673333
0,1.68,0.02490228,0.02551263,-0.026000910000000002
0,1.7,0.02429193,0.02453607,-0.03002922
0,1.72,0.02355951,0.02233881,-0.02880852
0,1.74,0.026000910000000002,0.01989741,-0.03356925
0,1.76,0.02160639,0.01770015,-0.02868645
0,1.78,0.02246088,0.0231933,-0.031127850000000002
0,1.8,0.02282709,0.02258295,-0.03430167
0,1.82,0.02233881,0.01855464,-0.03210441
0,1.84,0.02392572,0.01892085,-0.0354003
0,1.86,0.01904292,0.0195312,-0.03271476
0,1.8800000000000001,0.01843257,0.018188430000000002,-0.03222648
0,1.9000000000000001,0.02404779,0.02270502,-0.03820791
0,1.92,-0.44384652,0.5463853200000001,-0.94701906
0,1.94,0.72558408,1.9787547,-1.88463873
0,1.96,1.18554384,0.74694633,-0.54125838
0,1.98,-0.1867671,-0.268554,-2.04601527
0,2.0,0.22424259,0.58813326,-0.21215766
0,2.02,0.43542369000000003,0.36486723,-1.15527048
0,2.04,0.34863192,0.28625415,-0.96423093
0,2.06,-0.03356925,0.45641973,-0.9460425
0,2.08,-0.31774821000000003,0.32641518,-0.9020973
0,2.1,-0.43005261,0.24877866,-1.10058312
0,2.12,-0.30676191,0.36389067,-0.84863064
0,2.14,-0.33996495,0.39929097,-0.48327513
0,2.16,-0.15112266,0.41979873,-0.09509253
0,2.18,-0.1660152,0.22790469,0.36938382000000003
0,2.2,-0.39001365,-0.05834946,0.93468999
0,2.22,-0.44714241,-0.51855336,1.12768266
