label,time_s,x_g,y_g,z_g
1,0.0,-0.11865204,-0.87963642,-0.27563406
1,0.02,-0.15637167,-0.94250247,-0.06823713000000001
1,0.04,-0.06494124,-1.10900595,0.14733849
1,0.06,-0.04614246,-0.9570288,0.49084347
1,0.08,-0.02368158,-1.13732619,0.63525228
1,0.1,0.18591261,-1.05578343,1.24352709
1,0.12,0.268554,0.05895981,0.93957279
1,0.14,0.06384261,-2.33434461,0.06701643
1,0.16,0.02856438,0.88769304,1.73900922
1,0.18,0.01025388,-1.57873131,0.37182522
1,0.2,-0.0598143,-1.46825796,0.38683983
1,0.22,-0.28613208,-1.07568084,0.47570679
1,0.24,-0.32446206,-1.02514386,0.46191288
1,0.26,-0.31628337,-1.05016821,0.4064931
1,0.28,-0.29345628,-1.04748267,0.44201547
1,0.3,-0.17578080000000001,-1.04833716,0.46850466
1,0.32,-0.04284657,-1.05419652,0.40905657
1,0.34,0.06286605,-1.03527567,0.35021883
1,0.36,0.26928642,-1.01659896,0.27746511
1,0.38,0.46337772,-0.9976781100000001,0.12646452
1,0.4,0.61791834,-0.9436011,-0.05187975
1,0.42,0.65759109,-0.98974356,-0.19494579
1,0.44,0.55602885,-0.99316152,-0.37951563
1,0.46,0.63000327,-0.8654763,-0.45727422
1,0.48,0.70727358,-0.84020781,-0.5480943
1,0.5,0.6701643,-0.83581329,-0.67736643
1,0.52,0.59216157,-0.82299594,-0.84081816
1,0.54,0.48254271,-0.78930462,-0.93420171
1,0.56,0.43725474000000003,-0.80700477,-0.95898192
1,0.58,0.43322643,-0.82934358,-0.84911892
1,0.6,0.4284657,-0.86730735,-0.59020845
1,0.62,0.39538473,-0.9195533100000001,-0.17541459
1,0.64,0.32079996,-1.00964097,0.30859296
1,0.66,0.24633726,-1.04235573,0.7873515
1,0.68,0.08691384,-0.99389394,1.04406471
1,0.7000000000000001,-0.19909617000000002,-0.81957798,0.79809366
1,0.72,-0.36706449,-1.04430885,0.30932538
1,0.74,-0.77038377,-0.8441140500000001,-0.18115188000000002
1,0.76,-0.93835209,-0.86828391,-0.46581912000000003
1,0.78,-1.05199926,-0.84069609,-0.63281088
1,0.8,-0.83324982,-0.82739046,-0.54186873
1,0.8200000000000001,-0.51196158,-0.85473414,-0.34716708
1,0.84,-0.29101488000000003,-0.9130836,-0.30078048
1,0.86,-0.10925265,-0.91979745,-0.27246024
1,0.88,0.08227518,-0.9248023200000001,-0.26892021
1,0.9,0.21935979,-0.9448218,-0.29125902
1,0.92,0.31689372,-0.87792744,-0.28723071
1,0.9400000000000001,0.31017987,-0.85387965,-0.30309981
1,0.96,0.27087333,-0.83666778,-0.28869555
1,0.98,0.17004351,-0.73583796,-0.25097592
1,1.0,0.11267061,-0.7853983800000001,-0.29064867
1,1.02,0.12634245,-0.85766382,-0.30175704000000003
1,1.04,0.18737745,-1.16589057,-0.39770406
1,1.06,0.23156679,-0.84753201,-0.26037531
1,1.08,0.24609312,-0.7869852900000001,-0.29858322
1,1.1,0.20568795,-0.83532501,-0.354003
1,1.12,0.13586391,-0.73388484,-0.29211351
1,1.1400000000000001,0.08630349,-0.65478348,-0.24206481
1,1.16,0.06384261,-0.5621323500000001,-0.18908643
1,1.18,-0.02111811,-1.43749632,-0.30663984
1,1.2,0.0061035,-0.69006171,-0.10314915
1,1.22,0.04248036,-0.59533539,-0.03796377
1,1.24,0.04321278,-0.83715606,-0.29309007
1,1.26,0.01416012,-0.48852414,-0.17883255
1,1.28,0.00622557,-0.44494515,-0.20458932
1,1.3,-0.00354003,-0.8276346,-0.23168886
1,1.32,-0.08386209,-0.48937863,-0.097656
1,1.34,-0.03869619,-1.04784888,-0.24475035
1,1.36,-0.01135251,-0.2575677,-0.15441855000000002
1,1.3800000000000001,-0.029785080000000002,-0.48766965,-0.23754822
1,1.4000000000000001,-0.02795403,-0.27892995,-0.21643011
1,1.42,-0.02783196,-0.25671321,-0.13000455
1,1.44,-0.02636712,-0.19518993,-0.08435037000000001
1,1.46,-0.00964353,-0.12316863,-0.13220181
1,1.48,0.00012207,-0.03552237,-0.15844686
1,1.5,-0.01159665,0.04309071,-0.10424778
1,1.52,-0.00708006,0.10913058,-0.02770989
1,1.54,0.00512694,0.14941368,-0.0170898
1,1.56,0.01391598,0.19177197,-0.04406727
1,1.58,0.00756834,0.22595157,-0.0964353
1,1.6,-0.00268554,0.3112785,0.02819817
1,1.62,0.010986300000000001,0.2148432,-0.00927732
1,1.6400000000000001,-0.0024414,0.29858322,0.18029739
1,1.6600000000000001,0.00415038,0.46032597000000003,0.11157198
1,1.68,0.02856438,0.18041946,-0.20336862
1,1.7,0.0061035,0.20727486,0.00537108
1,1.72,0.05346666,0.36035064,0.15771444
1,1.74,0.18810987,2.0397897,-1.46960073
1,1.76,3.11547054,2.64305964,3.99986769
1,1.78,-0.01391598,-2.25011631,-3.74132343
1,1.8,-1.78441926,-1.2890592,-0.79162395
1,1.82,-0.89050065,-2.69469525,-1.1376924
1,1.84,0.53869491,-1.22411796,-2.07311481
1,1.86,1.88402838,-0.71471985,-1.35180318
1,1.8800000000000001,1.07250702,-1.47033315,-1.35314595
1,1.9000000000000001,0.84557889,-2.1258490500000002,-2.6330499
1,1.92,3.75426285,-3.99986769,-1.30382967
1,1.94,1.01342514,-2.1447699,0.61755213
1,1.96,-1.66576722,0.70495425,2.79125262
1,1.98,0.40808001,0.60742032,-0.10485813000000001
1,2.0,0.0195312,0.17407182000000002,-0.37316799
