label,time_s,x_g,y_g,z_g
1,0.0,0.32031168,-0.57140967,-1.03967019
1,0.02,0.29577561,-0.57299658,-1.0634738400000001
1,0.04,0.23669373,-0.49670283,-1.04589576
1,0.06,0.12499968,-0.4333485,-1.14269727
1,0.08,0.10729953,-0.35974029,-1.24316088
1,0.1,0.08374002,-0.34741122,-1.25707686
1,0.12,0.06701643,-0.37023831,-1.1303682
1,0.14,0.02416986,-0.40234272,-0.9892552800000001
1,0.16,0.01672359,-0.37683009,-0.92126229
1,0.18,0.07177716,-0.39831441,-0.90722424
1,0.2,0.12182586000000001,-0.4187001,-0.8801247
1,0.22,0.13293423000000001,-0.46618533,-0.82714632
1,0.24,0.16381794,-0.53503281,-0.73742487
1,0.26,0.11022921000000001,-0.9973119,-0.75829884
1,0.28,0.05725083,-0.67834299,-0.53210313
1,0.3,0.00219726,-0.57360693,-0.35607819
1,0.32,-0.0017089800000000001,-0.54650739,-0.46606326000000003
1,0.34,-0.06555159,-0.58495944,-0.66943188
1,0.36,-0.08703591000000001,-0.57848973,-0.79382121
1,0.38,-0.05725083,-0.53796249,-0.85058376
1,0.4,-0.02722161,-0.49011105,-0.8907447900000001
1,0.42,-0.00280761,-0.47595093,-0.94250247
1,0.44,-0.0024414,-0.46838259,-0.9912084
1,0.46,0.0305175,-0.50036493,-0.99963123
1,0.48,0.05480943,-0.50244012,-0.99755604
1,0.5,0.05920395,-0.4699695,-1.03796121
1,0.52,0.04223622,-0.4687488,-1.08117399
1,0.54,0.03076164,-0.4650867,-1.0363743
1,0.56,0.02355951,-0.47692749,-0.97021236
1,0.58,0.02514642,-0.48705930000000003,-0.94762941
1,0.6,0.04309071,-0.48242064,-0.94189212
1,0.62,0.09094215,-0.49230831,-0.92907477
1,0.64,0.12426726,-0.50024286,-0.9106422000000001
1,0.66,0.12438933,-0.50366082,-0.90551526
1,0.68,0.06909162,-0.49572627,-0.93114996
1,0.7000000000000001,0.04003896,-0.49438350000000003,-0.96972408
1,0.72,0.024414,-0.49218624,-0.9636205800000001
1,0.74,0.013549770000000001,-0.50695671,-0.90917736
1,0.76,0.03430167,-0.52136097,-0.85278102
1,0.78,0.0280761,-0.5317369200000001,-0.82690218
1,0.8,-0.00207519,-0.53491074,-0.79333293
1,0.8200000000000001,-0.00256347,-0.52111683,-0.76489062
1,0.84,0.02148432,-0.53503281,-0.78149214
1,0.86,0.03308097,-0.53552109,-0.83459259
1,0.88,0.024414,-0.52502307,-0.87328878
1,0.9,0.02624505,-0.52270374,-0.85192653
1,0.92,0.02307123,-0.52990587,-0.81628209
1,0.9400000000000001,-0.00280761,-0.5264879100000001,-0.8117655
1,0.96,-0.04223622,-0.52197132,-0.83386017
1,0.98,-0.06176742,-0.51623403,-0.84863064
