label,time_s,x_g,y_g,z_g
1,0.0,-0.07287579,-0.97546137,-0.29577561
1,0.02,-0.10925265,-0.98095452,-0.32910072
1,0.04,-0.1184079,-0.95531982,-0.45080451
1,0.06,-0.12829557,-0.90160902,-0.53527695
1,0.08,-0.14965782,-0.90368421,-0.59106294
1,0.1,-0.16381794,-0.90478284,-0.5710434600000001
1,0.12,-0.16064412,-0.90527112,-0.50732292
1,0.14,-0.18286086000000001,-0.8980689900000001,-0.50829948
1,0.16,-0.21459906,-0.90185316,-0.53039415
1,0.18,-0.231933,-0.89538345,-0.54614118
1,0.2,-0.21533148,-0.90148695,-0.55590678
1,0.22,-0.16210896,-0.90832287,-0.51049674
1,0.24,-0.15429648,-0.92516853,-0.48181029000000003
1,0.26,-0.15917928,-0.92760993,-0.48119994
1,0.28,-0.13452114,-0.93603276,-0.41699112
1,0.3,-0.10522434,-0.94067142,-0.40539447
1,0.32,-0.10668918000000001,-0.9263892300000001,-0.37170315
1,0.34,-0.09826635,-0.94689699,-0.33227454
1,0.36,-0.09997533,-0.97070064,-0.34216221
1,0.38,-0.10913058,-0.95495361,-0.32385171
1,0.4,-0.11498994,-0.95800536,-0.30139083
1,0.42,-0.13537563,-0.99010977,-0.30517500000000003
1,0.44,-0.14269983,-0.97961175,-0.2600091
1,0.46,-0.13635219,-0.97680414,-0.24853452
1,0.48,-0.1428219,-0.95177979,-0.21386664
1,0.5,-0.09411597000000001,-0.99548085,-0.23864685
1,0.52,-0.05932602,-0.97485102,-0.22241154
1,0.54,-0.00891111,-1.01904036,-0.23083437
1,0.56,-0.02795403,-0.96056883,-0.20373483
1,0.58,-0.10571262000000001,-0.98205315,-0.22546329
1,0.6,-0.11657685,-0.99047598,-0.2404779
1,0.62,-0.08142069,-0.98791251,-0.24255309
1,0.64,-0.03466788,-0.99792225,-0.20214792
1,0.66,-0.04174794,-0.99462636,-0.19518993
1,0.68,-0.08068827,-0.98339592,-0.22412052
1,0.7000000000000001,-0.0830076,-0.98962149,-0.22033635000000001
1,0.72,-0.07434063,-0.98461662,-0.19128369
1,0.74,-0.06933576,-0.99096426,-0.17590287
1,0.76,-0.10290501,-0.98486076,-0.15405234
1,0.78,-0.12268035000000001,-0.98791251,-0.18615675
1,0.8,-0.11498994,-0.98132073,-0.16906695
1,0.8200000000000001,-0.08972145000000001,-0.98290764,-0.20971626000000002
1,0.84,-0.07189923,-0.97338618,-0.16308552
1,0.86,-0.04284657,-0.99181875,-0.16296345
1,0.88,-0.04724109,-0.98046624,-0.14074671
1,0.9,-0.08740212,-0.97472895,-0.15771444
1,0.92,-0.11083956,-0.95898192,-0.1489254
1,0.9400000000000001,-0.10852023,-0.9509253,-0.12805143
1,0.96,-0.0939939,-0.9599584800000001,-0.13073697
1,0.98,-0.097656,-0.98852286,-0.13195767
1,1.0,-0.08703591000000001,-0.9462866400000001,-0.13476528000000002
1,1.02,-0.09875463,-0.94469973,-0.13439907
1,1.04,-0.12853971,-0.92748786,-0.06555159
1,1.06,-0.17883255,-0.9143043,-0.03381339
1,1.08,-0.19836375,-0.90673596,-0.00048828
1,1.1,-0.17504838,-0.92858649,-0.01428219
1,1.12,-0.15039024,-0.84643338,-0.013549770000000001
1,1.1400000000000001,-0.11804169,-0.82189731,-0.04382313
1,1.16,-0.10607883,-0.79052532,-0.07226544
1,1.18,-0.07092267000000001,-0.79687296,-0.1062009
1,1.2,-0.04284657,-0.73840143,-0.14294397
1,1.22,0.01208493,-0.72277647,-0.18493605
1,1.24,0.03124992,-0.67931955,-0.16882281
1,1.26,0.0146484,-0.69958317,-0.13281216
1,1.28,0.00878904,-0.66296217,-0.15002403
1,1.3,0.02490228,-0.6318343200000001,-0.16577106
1,1.32,0.054199080000000004,-0.6555159,-0.11877411
1,1.34,0.02453607,-0.56664894,-0.09045387
1,1.36,0.03149406,-0.37243557,-0.09716772
1,1.3800000000000001,0.01806636,-0.44518929,-0.11584443
1,1.4000000000000001,-0.01892085,-0.49230831,-0.10034154
1,1.42,-0.01989741,-0.19958445,-0.05651841
1,1.44,0.01989741,-0.22668399,-0.0463866
1,1.46,0.00781248,-0.39037986,-0.07275372000000001
1,1.48,-0.00134277,-0.11999481000000001,0.02514642
1,1.5,0.00805662,0.0793455,0.00805662
1,1.52,0.03625479,0.00622557,-0.02746575
1,1.54,0.04003896,-0.03918447,0.0341796
1,1.56,0.02368158,0.07019025,0.04357899
1,1.58,0.00256347,0.13244595,0.00439452
1,1.6,0.01916499,0.1879878,0.03613272
1,1.62,0.01904292,0.22680606,0.00903318
1,1.6400000000000001,-0.00964353,0.23266542,0.01647945
1,1.6600000000000001,-0.02502435,0.2502435,0.01916499
1,1.68,0.0,0.26086359,0.07434063
1,1.7,-0.02136225,0.32824623,0.09741186
1,1.72,0.15930135,0.12792936,-0.18823194000000001
1,1.74,-0.08166483000000001,0.41796768,0.12719694
1,1.76,-0.01196286,0.29760666,0.0390624
1,1.78,-3.99986769,0.64684893,3.84801261
1,1.8,-3.99986769,3.99986769,3.99986769
1,1.82,-3.99986769,2.136225,-1.7346147
1,1.84,-0.60705411,0.28601001,0.52917345
1,1.86,-0.43859751,0.30932538,0.77087205
1,1.8800000000000001,-0.41064348,0.3112785,-0.36059478
1,1.9000000000000001,-0.30871503,0.31518474,0.51660024
1,1.92,-0.10388157,0.12341277,0.47558472
1,1.94,0.06408675,-0.06274398,-0.70300113
1,1.96,0.21374457,-0.12097137000000001,0.11889618
1,1.98,0.41540421,-0.20922798,0.01306149
1,2.0,0.16442829,-0.20690865,-0.83959746
1,2.02,-0.21093696,-0.10266087,0.06408675
1,2.04,-0.71398743,-0.00317382,0.19360302000000001
1,2.06,-1.86132336,0.18017532,-0.02917473
1,2.08,-2.70848916,0.26147394,0.92028573
1,2.1,-2.92699446,0.41516007,0.76794237
1,2.12,-2.00963841,0.51476919,0.44824104
1,2.14,-1.04235573,0.28393482,0.22399845000000002
1,2.16,-0.80431923,0.17712357,0.07543926000000001
1,2.18,-0.91076427,-0.029785080000000002,-0.03796377
1,2.2,-0.81164343,-0.07739238,-0.08361795
1,2.22,-1.03600809,-0.13635219,-0.08728005
1,2.24,-0.98840079,-0.097656,-0.18896436
1,2.2600000000000002,-0.75329397,-0.0500487,-0.09936498
1,2.2800000000000002,-0.96850338,-0.03698721,0.00451659
1,2.3000000000000003,-1.10461143,0.02026362,-0.02014155
1,2.32,-0.22912539,0.00231933,-0.27282645
1,2.34,-1.08703335,0.00427245,0.07055646
1,2.36,-1.17858585,0.09606909,0.014892540000000001
1,2.38,-0.97729242,0.0068359200000000005,0.08007792
1,2.4,-0.96581784,-0.04296864,-0.10961886
1,2.42,-1.0522434,0.01062009,0.03015129
1,2.44,-0.97802484,0.01428219,0.05712876
1,2.46,-1.05212133,-0.00292968,-0.04602039
1,2.48,-0.91735605,-0.23767029,-0.13769496
1,2.5,-1.01159409,0.03735342,0.00256347
1,2.52,-0.9875463,-0.010986300000000001,-0.04064931
1,2.54,-0.88036884,-0.02038569,-0.09374976
1,2.56,-1.02074934,-0.018188430000000002,0.01013181
1,2.58,-1.00011951,-0.11706513,-0.03674307
1,2.6,-1.03942605,0.0561522,0.04443348
1,2.62,-1.09753137,0.01611324,0.09704565
1,2.64,-0.97570551,0.01196286,-0.04113759
1,2.66,-0.9204078,-0.09802221,-0.06787092
1,2.68,-1.09924035,0.02148432,0.04406727
1,2.7,-0.95275635,0.01611324,-0.06176742
1,2.72,-0.91601328,-0.04003896,-0.027099540000000002
1,2.74,-1.0445529900000001,-0.01452633,-0.00329589
1,2.7600000000000002,-0.96874752,-0.00097656,-0.04772937
1,2.7800000000000002,-0.98364006,-0.01635738,0.0073242
1,2.8000000000000003,-1.00011951,-0.01403805,-0.02758782
1,2.82,-0.97656,-0.00354003,-0.02233881
1,2.84,-1.0015843500000001,-0.01770015,-0.00183105
1,2.86,-0.98058831,-0.01110837,-0.03027336
1,2.88,-0.98571525,-0.00793455,-0.02014155
1,2.9,-1.00207263,-0.01159665,-0.00537108
1,2.92,-0.96899166,-0.00769041,-0.03723135
1,2.94,-0.99889881,-0.01330563,-0.00378417
1,2.96,-0.99877674,-0.01208493,-0.02587884
1,2.98,-0.96850338,-0.0097656,-0.02478021
