label,time_s,x_g,y_g,z_g
0,0.0,-0.08935524,-1.39306284,-0.2600091
0,0.02,-0.07458477,-1.42541139,-0.28955004
0,0.04,0.01611324,-1.42797486,-0.25830012
0,0.06,0.07678203,-1.39025523,-0.22997988
0,0.08,0.09558081,-1.35143697,-0.18835401000000002
0,0.1,0.13635219,-1.32360501,-0.17321733
0,0.12,0.23889099,-1.2878385,-0.14172327
0,0.14,0.2514642,-1.24865403,-0.13220181
0,0.16,0.1672359,-1.25671065,-0.16027791
0,0.18,0.08581521,-1.27148112,-0.18810987
0,0.2,0.052856310000000004,-1.30151034,-0.22351017
0,0.22,0.07263165,-1.27380045,-0.21874944000000002
0,0.24,0.05566392,-1.21899102,-0.23644959000000002
0,0.26,0.06848127,-1.22875662,-0.22155705
0,0.28,0.10998507,-1.18395693,-0.15258750000000001
0,0.3,0.15734823,-1.16393745,-0.09753393
0,0.32,0.11413545,-1.09667688,-0.07629375000000001
0,0.34,-0.0354003,-1.02367902,-0.11132784
0,0.36,-0.1562496,-0.99914295,-0.14965782
0,0.38,-0.14367639000000001,-1.02868389,-0.14025843
0,0.4,-0.12145965,-1.04650611,-0.1232907
0,0.42,-0.11425752,-1.04528541,-0.1281735
0,0.44,-0.10803195,-1.02599835,-0.11694306
0,0.46,-0.09216285,-0.9924291000000001,-0.08996559
0,0.48,-0.1159665,-0.94274661,-0.06848127
0,0.5,-0.12219207,-0.94299075,-0.06567366
0,0.52,-0.1196286,-0.9442114500000001,-0.04833972
0,0.54,-0.05712876,-0.92126229,-0.0354003
0,0.56,-0.04504383,-0.8703591,0.00866697
0,0.58,-0.03881826,-0.83459259,0.05163561
0,0.6,-0.03259269,-0.85009548,0.04943835
0,0.62,-0.04187001,-0.80505165,0.08312967
0,0.64,-0.14562951,-0.73705866,0.12658659
0,0.66,-0.16162068,-0.74499321,0.13659633000000002
0,0.68,-0.09655737,-0.80505165,0.14208948
0,0.7000000000000001,-0.06555159,-0.79723917,0.16540485
0,0.72,-0.06750471,-0.7214337,0.1977534
0,0.74,-0.11694306,-0.63403158,0.25219662
0,0.76,-0.14807091,-0.65295243,0.26061945000000003
