label,time_ms,x_lsb,y_lsb,z_lsb
1,0.0,-267,-8141,-1722
1,20.0,-450,-8157,-2344
1,40.0,-187,-8159,-2122
1,60.0,-88,-8144,-1529
1,80.0,76,-8277,-1322
1,100.0,174,-8293,-1448
1,120.0,81,-8084,-1667
1,140.0,113,-8055,-1969
1,160.0,-369,-7940,-2541
1,180.0,-686,-7919,-2859
1,200.0,-858,-7927,-2865
1,220.0,-811,-7901,-2599
1,240.0,-454,-8059,-2161
1,260.0,-133,-8198,-1702
1,280.0,-30,-8247,-1469
1,300.0,-132,-8265,-1229
1,320.0,-220,-8297,-1097
1,340.0,-146,-8257,-1263
1,360.0,11,-8233,-1767
1,380.0,243,-8133,-2191
1,400.0,232,-8104,-2332
1,420.0,224,-8046,-2061
1,440.0,151,-8101,-1833
1,460.0,9,-8025,-1913
1,480.0,-143,-8079,-2069
1,500.0,-100,-8006,-2182
1,520.0,-125,-8063,-2239
1,540.0,-70,-8037,-2144
1,560.0,-71,-8138,-1817
1,580.0,-37,-8241,-1370
1,600.0,3,-8342,-832
1,620.0,13,-8386,-594
1,640.0,111,-8361,-567
1,660.0,217,-8425,-479
1,680.0,288,-8471,-56
1,700.0,365,-8550,459
1,720.0,316,-8031,4
1,740.0,-22,-7775,-1259
1,760.0,-287,-7359,-2200
1,780.0,-376,-7955,-2923
1,800.0,-415,-7920,-2250
1,820.0,-405,-7475,-1482
1,840.0,-268,-7383,-1728
1,860.0,-201,-7688,-2333
1,880.0,-158,-7907,-2295
1,900.0,-182,-7723,-1784
1,920.0,-137,-7467,-1592
1,940.0,-160,-7394,-1900
1,960.0,-243,-7522,-2192
1,980.0,-229,-7489,-1983
1,1000.0,-166,-7370,-1545
1,1020.0,-112,-7229,-1533
1,1040.0,-214,-7168,-1924
1,1060.0,-159,-7168,-2106
1,1080.0,-125,-7063,-1670
1,1100.0,-141,-6882,-1240
1,1120.0,-161,-6734,-1447
1,1140.0,-182,-6674,-1889
1,1160.0,-103,-6585,-1808
1,1180.0,-66,-6352,-1192
1,1200.0,-115,-6116,-983
1,1220.0,-92,-5986,-1456
1,1240.0,-99,-5959,-1644
1,1260.0,-97,-5613,-1211
1,1280.0,-109,-5316,-784
1,1300.0,-92,-5016,-949
1,1320.0,0,-4798,-1236
1,1340.0,-53,-4447,-952
1,1360.0,22,-3966,-610
1,1380.0,-6,-3708,-419
1,1400.0,46,-3145,-496
1,1420.0,60,-2660,-486
1,1440.0,64,-2520,-328
1,1460.0,118,-1602,122
1,1480.0,158,-1036,229
1,1500.0,208,-547,226
1,1520.0,220,129,259
1,1540.0,278,758,564
1,1560.0,301,1324,741
1,1580.0,391,1563,682
1,1600.0,525,1909,337
1,1620.0,460,1884,482
1,1640.0,393,2008,1059
1,1660.0,853,2315,661
1,1680.0,219,2983,958
1,1700.0,657,3215,1202
1,1720.0,2401,2091,-414
1,1740.0,602,3495,2119
1,1760.0,2808,3540,-2071
1,1780.0,2809,3594,217
1,1800.0,32767,32767,32767
1,1820.0,32767,-5587,-31989
1,1840.0,17814,-24392,-15071
1,1860.0,3202,-28826,-20250
1,1880.0,-11379,-12118,11799
1,1900.0,-9191,2620,3074
1,1920.0,-12002,10258,14868
1,1940.0,-8403,11664,28938
1,1960.0,3127,10418,1386
1,1980.0,5189,9223,8436
1,2000.0,12863,4417,94
1,2020.0,10951,-9017,-16083
1,2040.0,5054,-4406,-6657
1,2060.0,2041,-4127,-6298
1,2080.0,-840,322,-6298
1,2100.0,-1648,3896,4168
1,2120.0,-1009,6138,4574
1,2140.0,-295,6649,2362
1,2160.0,2071,2913,-5916
1,2180.0,3028,2320,-5308
1,2200.0,5897,1200,-2090
1,2220.0,26400,1141,-16100
1,2240.0,32767,3285,5010
1,2260.0,2229,10217,8739
1,2280.0,-4876,10250,8525
1,2300.0,17,4682,-10807
1,2320.0,1769,2136,-7350
1,2340.0,5847,159,-6487
1,2360.0,3720,-2786,-11047
1,2380.0,-260,-1214,-6062
1,2400.0,533,1037,-10945
1,2420.0,-3623,2519,-6836
1,2440.0,-4522,3186,-7681
1,2460.0,297,2093,-5954
1,2480.0,-2655,2204,-7183
1,2500.0,-174,1754,-7124
1,2520.0,2217,1189,-6461
1,2540.0,2223,1015,-6886
1,2560.0,3104,1255,-8127
1,2580.0,5008,1483,-6834
1,2600.0,5637,1426,-5166
1,2620.0,6756,1302,-4230
1,2640.0,17916,-923,-2169
1,2660.0,16146,895,25
1,2680.0,6929,-417,3042
1,2700.0,-255,801,2200
1,2720.0,1201,-994,-1890
1,2740.0,3275,-828,-796
1,2760.0,7804,-761,-1827
1,2780.0,15301,-632,-3720
1,2800.0,14271,-114,-2620
1,2820.0,6894,934,-2337
1,2840.0,5137,911,-3099
1,2860.0,6105,796,-3532
1,2880.0,7687,549,-2830
1,2900.0,9325,157,-2680
1,2920.0,8190,-235,-2393
1,2940.0,7170,-97,-2184
1,2960.0,7621,225,-2689
1,2980.0,7943,321,-3158
